psi_deg,Vr,Vpsi,Mach,p_over_p1,T_over_T1,rho_over_rho1
38.6,0.711527935926323,-0.78650513104787,1.06059526906742,2.82399577285868,1.34885221071377,2.09362875371224
38.4,0.708783654481554,-0.785850199401259,1.05826972212155,2.83197215083949,1.34994931698714,2.09783590776576
38.2,0.706041681282735,-0.785182617476072,1.05593872857052,2.83997869290126,1.35104836257147,2.10205553818657
38,0.703302060341706,-0.784502468901961,1.05360234993766,2.84801520460692,1.35214930656926,2.10628751630472
37.8,0.70056483537839,-0.783809837306409,1.05126064780674,2.85608148879465,1.35325210799044,2.11053171240641
37.6,0.697830049820803,-0.783104806309664,1.04891368381683,2.8641773455835,1.35435672575632,2.11478799574317
37.4,0.695097746805092,-0.782387459519728,1.04656151965723,2.87230257237949,1.35546311870354,2.11905623454127
37.2,0.692367969175588,-0.781657880527402,1.04420421706241,2.88045696388214,1.35657124558798,2.12333629601125
37,0.689640759484868,-0.780916152901384,1.04184183780705,2.88864031209144,1.35768106508874,2.12762804635758
36.8,0.686916159993849,-0.780162360183424,1.03947444370108,2.89685240631533,1.3587925358121,2.13193135078858
36.6,0.684194212671883,-0.779396585883537,1.03710209658481,2.90509303317761,1.3599056162954,2.13624607352645
36.4,0.681474959196882,-0.778618913475261,1.03472485832408,2.91336197662635,1.36102026501106,2.14057207781743
36.2,0.678758440955448,-0.777829426390984,1.03234279080546,2.92165901794271,1.36213644037048,2.1449092259422
36,0.676044699043031,-0.777028208017312,1.0299559559315,2.92998393575032,1.36325410072801,2.1492573792264
35.8,0.67333377426409,-0.776215341690503,1.02756441561609,2.93833650602505,1.36437320438485,2.15361639805133
35.6,0.670625707132283,-0.775390910691947,1.02516823177972,2.94671650210534,1.36549370959305,2.15798614186478
35.4,0.66792053787066,-0.774554998243708,1.02276746634499,2.95512369470294,1.3666155745594,2.1623664691921
35.2,0.665218306411886,-0.773707687504111,1.02036218123197,2.96355785191421,1.36773875744937,2.16675723764734
35,0.662519052398461,-0.772849061563395,1.01795243835376,2.9720187392318,1.36886321639108,2.17115830394459
34.8,0.659822815182973,-0.771979203439409,1.01553829961205,2.98050611955694,1.36998890947917,2.17556952390954
34.6,0.657129633828357,-0.77109819607337,1.01311982689265,2.98901975321214,1.37111579477876,2.17999075249107
34.4,0.654439547108165,-0.770206122325668,1.01069708206123,2.9975593979544,1.37224383032936,2.18442184377315
34.2,0.651752593506862,-0.769303064971733,1.00827012695895,3.0061248089889,1.37337297414879,2.18886265098676
34,0.649068811220125,-0.768389106697945,1.00583902339826,3.01471573898323,1.37450318423707,2.19331302652207
33.8,0.646388238155161,-0.767464330097607,1.00340383315867,3.02333193808206,1.37563441858032,2.19777282194072
33.6,0.643710911931043,-0.766528817666966,1.00096461798258,3.03197315392233,1.37676663515468,2.20224188798829
33.4,0.641036869879051,-0.765582651801287,0.99852143957124,3.04063913164897,1.37789979193019,2.20672007460686
33.2,0.638366149043034,-0.764625914790979,0.996074359580636,3.04932961393102,1.37903384687465,2.21120723094783
33,0.635698786179781,-0.763658688817778,0.993623439617512,3.05804434097837,1.38016875795751,2.21570320538477
32.8,0.633034817759409,-0.762681055950977,0.99116874123541,3.0667830505589,1.38130448315373,2.22020784552655
32.6,0.63037427996576,-0.761693098143711,0.988710325930763,3.07554547801619,1.38244098044764,2.22472099823047
32.4,0.627717208696813,-0.760694897229294,0.986248255139042,3.08433135628766,1.3835782078368,2.22924250961566
32.2,0.625063639565111,-0.759686534917601,0.983782590230939,3.09314041592327,1.38471612333581,2.2337722250766
32,0.622413607898195,-0.758668092791516,0.981313392508614,3.10197238510468,1.38585468498014,2.23830998929671
31.8,0.619767148739055,-0.757639652303413,0.97884072320198,3.11082698966491,1.38699385082996,2.24285564626218
31.6,0.617124296846592,-0.756601294771704,0.976364643465042,3.11970395310849,1.38813357897396,2.2474090392759
31.4,0.61448508669609,-0.755553101377423,0.973885214372281,3.12860299663215,1.38927382753312,2.25197001097148
31.2,0.611849552479703,-0.754495153160876,0.971402496915087,3.13752383914596,1.39041455466449,2.25653840332752
31,0.609217728106951,-0.753427531018325,0.968916551998243,3.14646619729493,1.39155571856499,2.2611140576819
30.8,0.60658964720523,-0.752350315698733,0.966427440436451,3.15542978548121,1.39269727747512,2.26569681474629
30.6,0.60396534312033,-0.751263587800558,0.963935222950912,3.16441431588665,1.39383918968276,2.27028651462072
30.4,0.601344848916965,-0.750167427768586,0.96143996016595,3.17341949849595,1.39498141352688,2.27488299680833
30.2,0.59872819737932,-0.749061915890826,0.958941712605685,3.18244504112023,1.39612390740123,2.27948610023024
30,0.596115421011596,-0.747947132295446,0.95644054069075,3.19149064942112,1.39726662975808,2.28409566324052
29.8,0.593506552038581,-0.746823156947759,0.95393650473506,3.20055602693532,1.39840953911189,2.28871152364132
29.6,0.590901622406218,-0.745690069647257,0.951429664942623,3.20964087509959,1.39955259404298,2.29333351869806
29.4,0.588300663782191,-0.744547950024694,0.948920081404404,3.21874489327633,1.40069575320121,2.29796148515484
29.2,0.585703707556519,-0.743396877539215,0.946407814095227,3.22786777877951,1.4018389753096,2.30259525924983
29,0.58311078484216,-0.742236931475531,0.943892922870731,3.23700922690113,1.40298221916793,2.30723467673091
28.8,0.580521926475624,-0.741068190941147,0.941375467464366,3.24616893093815,1.40412544365641,2.31187957287133
28.6,0.577937163017599,-0.739890734863626,0.938855507484441,3.25534658221984,1.40526860773922,2.3165297824855
28.4,0.57535652475358,-0.73870464198791,0.936333102411211,3.26454187013564,1.40641167046808,2.32118513994492
28.2,0.572780041694513,-0.737509990873681,0.933808311594015,3.27375448216344,1.40755459098585,2.32584547919417
28,0.570207743577446,-0.736306859892766,0.931281194248455,3.28298410389832,1.40869732852999,2.330510633767
27.8,0.56763965986619,-0.735095327226595,0.928751809453623,3.29223041908173,1.40983984243615,2.33518043680258
27.6,0.565075819751987,-0.733875470863694,0.926220216149372,3.30149310963113,1.41098209214161,2.33985472106174
27.4,0.562516252154188,-0.73264736859723,0.923686473133628,3.31077185567004,1.41212403718879,2.34453331894344
27.2,0.55996098572094,-0.731411098022598,0.921150639059752,3.32006633555855,1.41326563722867,2.34921606250118
27,0.557410048829876,-0.73016673653505,0.91861277243394,3.32937622592424,1.41440685202425,2.35390278345962
26.8,0.554863469588826,-0.728914361327371,0.916072931612674,3.33870120169352,1.41554764145397,2.35859331323119
